,0
2015-12-03,-0.04625886830379743
2015-12-04,-0.06898620853403095
2015-12-07,0.010456757940309026
2015-12-08,0.038530762603489845
2015-12-09,0.012709247349165453
2015-12-10,-0.033261174669145355
2015-12-11,-0.030967844549456197
2015-12-14,0.1761422203515831
2015-12-15,0.09256985127757777
2015-12-16,0.1009110282767444
2015-12-17,0.06010308332847303
2015-12-18,0.048106298037083245
2015-12-21,-0.027784982768800905
2015-12-22,0.01725623338966646
2015-12-23,-0.05158730074209712
2015-12-24,0.016181283071008273
2015-12-28,0.15653588149336006
2015-12-29,0.04047709948355842
2015-12-30,0.029381083907216263
2015-12-31,-0.007222420197810123
2016-01-04,-0.2506389859334346
2016-01-05,0.05084813380445276
2016-01-06,0.0025845786347315353
2016-01-07,-0.019773350733519185
2016-01-08,-0.011255461930556501
